,0,1,2,3,4,5,6
15,315,10019248334960873045.wav,"Ci ay mbindam, day jëfandikoo ay kàddu yinga xamantani waajur yi da ñu leen jàppe yu ñàkkk worma, ak doño nettali ni da doon jëf jëf yu ñaak teggin ci dara ji bi.",ci ay mbindam day jëfandikoo ay kàddu yinga xamantani waajur yi da ñu leen jàppe yu ñàkkk worma ak doño nettali ni da doon jëf jëf yu ñaak teggin ci dara ji bi,c i | a y | m b i n d a m | d a y | j ë f a n d i k o o | a y | k à d d u | y i n g a | x a m a n t a n i | w a a j u r | y i | d a | ñ u | l e e n | j à p p e | y u | ñ à k k k | w o r m a | a k | d o ñ o | n e t t a l i | n i | d a | d o o n | j ë f | j ë f | y u | ñ a a k | t e g g i n | c i | d a r a | j i | b i |,276480,MALE
16,271,7734077364806893401.wav,"Boobu batay, doomu Breesil bi bokkna ci juroom fukk ak gnett jongante ngir club bi té dugeel gnar fukk ak gnenti bit.",boobu batay doomu breesil bi bokkna ci juroom fukk ak gnett jongante ngir club bi té dugeel gnar fukk ak gnenti bit,b o o b u | b a t a y | d o o m u | b r e e s i l | b i | b o k k n a | c i | j u r o o m | f u k k | a k | g n e t t | j o n g a n t e | n g i r | c l u b | b i | t é | d u g e e l | g n a r | f u k k | a k | g n e n t i | b i t |,222720,FEMALE
17,1495,7749375179408518352.wav,"yénéén yi bokkna ci deeku ndox biidi Livingston, té mbéttél bi caldera bi amoon ndox bu bénn suuf suy bax bu joxé gisggis bu doy war.",yénéén yi bokkna ci deeku ndox biidi livingston té mbéttél bi caldera bi amoon ndox bu bénn suuf suy bax bu joxé gisggis bu doy war,y é n é é n | y i | b o k k n a | c i | d e e k u | n d o x | b i i d i | l i v i n g s t o n | t é | m b é t t é l | b i | c a l d e r a | b i | a m o o n | n d o x | b u | b é n n | s u u f | s u y | b a x | b u | j o x é | g i s g g i s | b u | d o y | w a r |,298560,MALE
18,1394,15383494750392630573.wav,"Sooy dem ci ab sàrdeŋ bu am teggiin bu jekk, dajale ay “misaal” dina tax ñu mën laa sànni, te du jàr wax ju bari.",sooy dem ci ab sàrdeŋ bu am teggiin bu jekk dajale ay misaal dina tax ñu mën laa sànni te du jàr wax ju bari,s o o y | d e m | c i | a b | s à r d e ŋ | b u | a m | t e g g i i n | b u | j e k k | d a j a l e | a y | m i s a a l | d i n a | t a x | ñ u | m ë n | l a a | s à n n i | t e | d u | j à r | w a x | j u | b a r i |,247680,FEMALE
19,393,340489411549679586.wav,"Ak xeex buñuy defal Farans, Almaañ tambali na noppi ngir soŋg duunu Angalteer.",ak xeex buñuy defal farans almaañ tambali na noppi ngir soŋg duunu angalteer,a k | x e e x | b u ñ u y | d e f a l | f a r a n s | a l m a a ñ | t a m b a l i | n a | n o p p i | n g i r | s o ŋ g | d u u n u | a n g a l t e e r |,171840,FEMALE
20,116,16216538086896935794.wav,"Amna yaakaar indi yokkute ak wuute ci liggéeyam ndax mu mëna am doole ji Skype am ci réew yu mag yu ci melni Chine, Europe gu Penku ak Brésil.",amna yaakaar indi yokkute ak wuute ci liggéeyam ndax mu mëna am doole ji skype am ci réew yu mag yu ci melni chine europe gu penku ak brésil,a m n a | y a a k a a r | i n d i | y o k k u t e | a k | w u u t e | c i | l i g g é e y a m | n d a x | m u | m ë n a | a m | d o o l e | j i | s k y p e | a m | c i | r é e w | y u | m a g | y u | c i | m e l n i | c h i n e | e u r o p e | g u | p e n k u | a k | b r é s i l |,324480,MALE
21,980,17034645753310034682.wav,"Yii mën nañu doon yu wooradi sudee aji-tukki bi dafay topp miir bi, di yaqaale enersi bu am solo ak ndox mi ci des.",yii mën nañu doon yu wooradi sudee aji-tukki bi dafay topp miir bi di yaqaale enersi bu am solo ak ndox mi ci des,y i i | m ë n | n a ñ u | d o o n | y u | w o o r a d i | s u d e e | a j i - t u k k i | b i | d a f a y | t o p p | m i i r | b i | d i | y a q a a l e | e n e r s i | b u | a m | s o l o | a k | n d o x | m i | c i | d e s |,157440,FEMALE
22,324,6518899697564445888.wav,"Tampet toropikaal bu Danielle, ñeenti tampet yuñu lim ci Atlantik bu sezon hurricane bu 2010, forméwu na ci penku Ocean Atlantik.",tampet toropikaal bu danielle ñeenti tampet yuñu lim ci atlantik bu sezon hurricane bu 2010 forméwu na ci penku ocean atlantik,t a m p e t | t o r o p i k a a l | b u | d a n i e l l e | ñ e e n t i | t a m p e t | y u ñ u | l i m | c i | a t l a n t i k | b u | s e z o n | h u r r i c a n e | b u | 2 0 1 0 | f o r m é w u | n a | c i | p e n k u | o c e a n | a t l a n t i k |,255360,MALE
23,820,9185624001120484709.wav,"Boy tukki, xaaral mbir yi wute ak fa nga jóge . Doxalin, sart, lekk, dem ak dikk bi, dëkkuwaay, tektalukaay, kàllaama ak yeneen dinañu wuute tuuti ak fi nga dëkk.",boy tukki xaaral mbir yi wute ak fa nga jóge . doxalin sart lekk dem ak dikk bi dëkkuwaay tektalukaay kàllaama ak yeneen dinañu wuute tuuti ak fi nga dëkk,b o y | t u k k i | x a a r a l | m b i r | y i | w u t e | a k | f a | n g a | j ó g e | . | d o x a l i n | s a r t | l e k k | d e m | a k | d i k k | b i | d ë k k u w a a y | t e k t a l u k a a y | k à l l a a m a | a k | y e n e e n | d i n a ñ u | w u u t e | t u u t i | a k | f i | n g a | d ë k k |,270720,FEMALE
24,941,15763660694132297587.wav,Yoon bi genne yomb ngir door yëngu yëngu mbindum tukki mooy daas sa mën mën ci bénn blog dalu web bu tukki.,yoon bi genne yomb ngir door yëngu yëngu mbindum tukki mooy daas sa mën mën ci bénn blog dalu web bu tukki,y o o n | b i | g e n n e | y o m b | n g i r | d o o r | y ë n g u | y ë n g u | m b i n d u m | t u k k i | m o o y | d a a s | s a | m ë n | m ë n | c i | b é n n | b l o g | d a l u | w e b | b u | t u k k i |,264960,MALE
25,678,14132059054689204211.wav,"Li nga wara fay ngir am visa mingi aju ci réew mi nga joge, benn réew bokkul ak moroom ma.",li nga wara fay ngir am visa mingi aju ci réew mi nga joge benn réew bokkul ak moroom ma,l i | n g a | w a r a | f a y | n g i r | a m | v i s a | m i n g i | a j u | c i | r é e w | m i | n g a | j o g e | b e n n | r é e w | b o k k u l | a k | m o r o o m | m a |,165120,MALE
26,980,15123102768480803078.wav,"Yii mën nañu doon yu wooradi sudee aji-tukki bi dafay topp miir bi, di yaqaale enersi bu am solo ak ndox mi ci des.",yii mën nañu doon yu wooradi sudee aji-tukki bi dafay topp miir bi di yaqaale enersi bu am solo ak ndox mi ci des,y i i | m ë n | n a ñ u | d o o n | y u | w o o r a d i | s u d e e | a j i - t u k k i | b i | d a f a y | t o p p | m i i r | b i | d i | y a q a a l e | e n e r s i | b u | a m | s o l o | a k | n d o x | m i | c i | d e s |,247680,FEMALE
27,500,8588644792647135616.wav,"Pureland origami mooy origami ak deegeeru bénn lém dong lañu mayé, té lém yepp ni yi nu déñcee yi mayé wunu ko, té bu si nekk xam nañu fumu né.",pureland origami mooy origami ak deegeeru bénn lém dong lañu mayé té lém yepp ni yi nu déñcee yi mayé wunu ko té bu si nekk xam nañu fumu né,p u r e l a n d | o r i g a m i | m o o y | o r i g a m i | a k | d e e g e e r u | b é n n | l é m | d o n g | l a ñ u | m a y é | t é | l é m | y e p p | n i | y i | n u | d é ñ c e e | y i | m a y é | w u n u | k o | t é | b u | s i | n e k k | x a m | n a ñ u | f u m u | n é |,332160,FEMALE
28,1229,12821139056927964823.wav,"Kimu bokkal ekip Fernando Alonso mu ngi woon ci kanam ci li ëpp ci rawante gi, waaye daf koo jeexal bimu taxawee ci estànd bi, mën naa am ndax pono kanam bu nekk ci ndeyjoor bu serré wuñu ko woon bu baax.",kimu bokkal ekip fernando alonso mu ngi woon ci kanam ci li ëpp ci rawante gi waaye daf koo jeexal bimu taxawee ci estànd bi mën naa am ndax pono kanam bu nekk ci ndeyjoor bu serré wuñu ko woon bu baax,k i m u | b o k k a l | e k i p | f e r n a n d o | a l o n s o | m u | n g i | w o o n | c i | k a n a m | c i | l i | ë p p | c i | r a w a n t e | g i | w a a y e | d a f | k o o | j e e x a l | b i m u | t a x a w e e | c i | e s t à n d | b i | m ë n | n a a | a m | n d a x | p o n o | k a n a m | b u | n e k k | c i | n d e y j o o r | b u | s e r r é | w u ñ u | k o | w o o n | b u | b a a x |,326400,FEMALE
29,1289,17739373979394022220.wav,"Rekin am nañu dëgg, wante du ñu faral di songu nit ñi. Lu ëpp ci rekin yi dañoo ragal nit ñi te danuy feey dem seen yoon suñu gisee nit.",rekin am nañu dëgg wante du ñu faral di songu nit ñi lu ëpp ci rekin yi dañoo ragal nit ñi te danuy feey dem seen yoon suñu gisee nit,r e k i n | a m | n a ñ u | d ë g g | w a n t e | d u | ñ u | f a r a l | d i | s o n g u | n i t | ñ i | l u | ë p p | c i | r e k i n | y i | d a ñ o o | r a g a l | n i t | ñ i | t e | d a n u y | f e e y | d e m | s e e n | y o o n | s u ñ u | g i s e e | n i t |,220800,MALE
30,918,17855737851146875281.wav,"Benn ci xarala yi bi gëna woor mooy Google Translate, bilay may ay tékki te doo nekk ci lënd gi ginnaw bi nga wàccee joxe làkk bi nga bëgg.",benn ci xarala yi bi gëna woor mooy google translate bilay may ay tékki te doo nekk ci lënd gi ginnaw bi nga wàccee joxe làkk bi nga bëgg,b e n n | c i | x a r a l a | y i | b i | g ë n a | w o o r | m o o y | g o o g l e | t r a n s l a t e | b i l a y | m a y | a y | t é k k i | t e | d o o | n e k k | c i | l ë n d | g i | g i n n a w | b i | n g a | w à c c e e | j o x e | l à k k | b i | n g a | b ë g g |,212160,FEMALE
31,870,16669624601037730813.wav,"Sudee dangeen nekk ci dëkk bu ngeen xamul lu bari ci àllam, moytu leen tëdd ci matelas wala coussin ci suuf.",sudee dangeen nekk ci dëkk bu ngeen xamul lu bari ci àllam moytu leen tëdd ci matelas wala coussin ci suuf,s u d e e | d a n g e e n | n e k k | c i | d ë k k | b u | n g e e n | x a m u l | l u | b a r i | c i | à l l a m | m o y t u | l e e n | t ë d d | c i | m a t e l a s | w a l a | c o u s s i n | c i | s u u f |,127680,FEMALE
32,377,2711757115272094389.wav,Gas bi dafay waññeeku soo leen di sori diggu Naaj wi.,gas bi dafay waññeeku soo leen di sori diggu naaj wi,g a s | b i | d a f a y | w a ñ ñ e e k u | s o o | l e e n | d i | s o r i | d i g g u | n a a j | w i |,114240,FEMALE
33,1197,12104070806198149374.wav,Goma goxu Turist la bu nekk ci Repibilik Demokaraatik bu Kongo ci fi gëna càté ci pénku ci wetu Ruwanda.,goma goxu turist la bu nekk ci repibilik demokaraatik bu kongo ci fi gëna càté ci pénku ci wetu ruwanda,g o m a | g o x u | t u r i s t | l a | b u | n e k k | c i | r e p i b i l i k | d e m o k a r a a t i k | b u | k o n g o | c i | f i | g ë n a | c à t é | c i | p é n k u | c i | w e t u | r u w a n d a |,167040,FEMALE
34,404,17197379569067049706.wav,"Ci ndorteelu xare bi, dañoo tukki jaar ci kaw géeej gi lu bare, wante ba radar yi dooree di yokku te di gëna xarañ.",ci ndorteelu xare bi dañoo tukki jaar ci kaw géeej gi lu bare wante ba radar yi dooree di yokku te di gëna xarañ,c i | n d o r t e e l u | x a r e | b i | d a ñ o o | t u k k i | j a a r | c i | k a w | g é e e j | g i | l u | b a r e | w a n t e | b a | r a d a r | y i | d o o r e e | d i | y o k k u | t e | d i | g ë n a | x a r a ñ |,216000,MALE
35,1345,3551643212996681742.wav,"Donté rééw buné 'Scandinavian' lawoon, ay wuuté yu bari am na ci nit yi, buur yi, aada ak taarixu Denmark, Suwed, Norwees ak Irëland.",donté rééw buné scandinavian' lawoon ay wuuté yu bari am na ci nit yi buur yi aada ak taarixu denmark suwed norwees ak irëland,d o n t é | r é é w | b u n é | s c a n d i n a v i a n ' | l a w o o n | a y | w u u t é | y u | b a r i | a m | n a | c i | n i t | y i | b u u r | y i | a a d a | a k | t a a r i x u | d e n m a r k | s u w e d | n o r w e e s | a k | i r ë l a n d |,217920,FEMALE
36,647,9131445284397138781.wav,"Sunu xamxam bi ci défalko-sa-bopp yeepp ak xibaar yi muy wane, di jang ci télé yi deeggeel na lii.",sunu xamxam bi ci défalko-sa-bopp yeepp ak xibaar yi muy wane di jang ci télé yi deeggeel na lii,s u n u | x a m x a m | b i | c i | d é f a l k o - s a - b o p p | y e e p p | a k | x i b a a r | y i | m u y | w a n e | d i | j a n g | c i | t é l é | y i | d e e g g e e l | n a | l i i |,154560,FEMALE
37,46,7921582428866721568.wav,"Ci 24 Septumbar, 1759, Arthur Guinness xaatim na benn luwaas bu 9 000 at ngir St James’ Gate Brewery ci Dublin, Ireland.",ci 24 septumbar 1759 arthur guinness xaatim na benn luwaas bu 9 000 at ngir st james' gate brewery ci dublin ireland,c i | 2 4 | s e p t u m b a r | 1 7 5 9 | a r t h u r | g u i n n e s s | x a a t i m | n a | b e n n | l u w a a s | b u | 9 | 0 0 0 | a t | n g i r | s t | j a m e s ' | g a t e | b r e w e r y | c i | d u b l i n | i r e l a n d |,344640,MALE
38,1357,8018833996436585050.wav,"Barabi xoolukaay yi xawa jiitu sunu jamono daanaka dañu xewwi, tay li des mooy muse yi wala barabi jàngukaay yi.",barabi xoolukaay yi xawa jiitu sunu jamono daanaka dañu xewwi tay li des mooy muse yi wala barabi jàngukaay yi,b a r a b i | x o o l u k a a y | y i | x a w a | j i i t u | s u n u | j a m o n o | d a a n a k a | d a ñ u | x e w w i | t a y | l i | d e s | m o o y | m u s e | y i | w a l a | b a r a b i | j à n g u k a a y | y i |,157440,FEMALE
39,563,15310092592325525759.wav,"Soo gaañoo ci jeema dimbali, kon defoo ludul yokk jafe-jafe bi.",soo gaañoo ci jeema dimbali kon defoo ludul yokk jafe-jafe bi,s o o | g a a ñ o o | c i | j e e m a | d i m b a l i | k o n | d e f o o | l u d u l | y o k k | j a f e - j a f e | b i |,134400,FEMALE
40,204,843408639971025363.wav,Yenn ci taw yi dafa àndoon ak ay dëndu daan faral di àndaale ak ay melax.,yenn ci taw yi dafa àndoon ak ay dëndu daan faral di àndaale ak ay melax,y e n n | c i | t a w | y i | d a f a | à n d o o n | a k | a y | d ë n d u | d a a n | f a r a l | d i | à n d a a l e | a k | a y | m e l a x |,142080,FEMALE
41,353,8421749043251942898.wav,Tensiyong c kw ndox mi dafay am ndaxte molekul yi nekk ci kaw ndox dañuy xëcënte bu baax lu ëpp ci ni ñuy xëcantee ci molekul yi ci ngelaw li te tiim leen.,tensiyong c kw ndox mi dafay am ndaxte molekul yi nekk ci kaw ndox dañuy xëcënte bu baax lu ëpp ci ni ñuy xëcantee ci molekul yi ci ngelaw li te tiim leen,t e n s i y o n g | c | k w | n d o x | m i | d a f a y | a m | n d a x t e | m o l e k u l | y i | n e k k | c i | k a w | n d o x | d a ñ u y | x ë c ë n t e | b u | b a a x | l u | ë p p | c i | n i | ñ u y | x ë c a n t e e | c i | m o l e k u l | y i | c i | n g e l a w | l i | t e | t i i m | l e e n |,221760,FEMALE
42,1050,1318498775446859791.wav,"Ñaari tuur yi kawe nañ kawewaay boo xam ne eggna ci 83 meetar, mi ngi toll ci 378 meetar ci guddaay te am na ñaari yoon yu am 3,50 metaar guddaaay.","ñaari tuur yi kawe nañ kawewaay boo xam ne eggna ci 83 meetar mi ngi toll ci 378 meetar ci guddaay te am na ñaari yoon yu am 3,50 metaar guddaaay","ñ a a r i | t u u r | y i | k a w e | n a ñ | k a w e w a a y | b o o | x a m | n e | e g g n a | c i | 8 3 | m e e t a r | m i | n g i | t o l l | c i | 3 7 8 | m e e t a r | c i | g u d d a a y | t e | a m | n a | ñ a a r i | y o o n | y u | a m | 3 , 5 0 | m e t a a r | g u d d a a a y |",393600,MALE
43,1267,886448109637191905.wav,"Ndaysaan, saa yu nuy baamtu lii sama yaram day daw, sama xol laa ko tibbee.",ndaysaan saa yu nuy baamtu lii sama yaram day daw sama xol laa ko tibbee,n d a y s a a n | s a a | y u | n u y | b a a m t u | l i i | s a m a | y a r a m | d a y | d a w | s a m a | x o l | l a a | k o | t i b b e e |,124800,MALE
44,355,10244214378713400204.wav,"Lamu patin bu galas bu xew dafa am ñaari wet ak xóot xóot ci seen diggante, ñaari pegg yooyu dafay tax kiy def patinas bu gaawaa daanu suñuy tar-tari sax.",lamu patin bu galas bu xew dafa am ñaari wet ak xóot xóot ci seen diggante ñaari pegg yooyu dafay tax kiy def patinas bu gaawaa daanu suñuy tar-tari sax,l a m u | p a t i n | b u | g a l a s | b u | x e w | d a f a | a m | ñ a a r i | w e t | a k | x ó o t | x ó o t | c i | s e e n | d i g g a n t e | ñ a a r i | p e g g | y o o y u | d a f a y | t a x | k i y | d e f | p a t i n a s | b u | g a a w a a | d a a n u | s u ñ u y | t a r - t a r i | s a x |,231360,FEMALE
45,282,13167542347258910410.wav,"Ci Berlin, poliis bi waññi na lu toll ci 6500 ñaxtukat.",ci berlin poliis bi waññi na lu toll ci 6500 ñaxtukat,c i | b e r l i n | p o l i i s | b i | w a ñ ñ i | n a | l u | t o l l | c i | 6 5 0 0 | ñ a x t u k a t |,181440,MALE
46,1303,10063041449786316294.wav,"Ay pirate ñoko sacc, xaj bu soxor songu ko ca Tibet, rëc sëy ca Nepal te nu jàpp ko ca Indë.",ay pirate ñoko sacc xaj bu soxor songu ko ca tibet rëc sëy ca nepal te nu jàpp ko ca indë,a y | p i r a t e | ñ o k o | s a c c | x a j | b u | s o x o r | s o n g u | k o | c a | t i b e t | r ë c | s ë y | c a | n e p a l | t e | n u | j à p p | k o | c a | i n d ë |,171840,FEMALE
47,765,8804790179767084616.wav,Bërëb otel tonuna Bu njëkk ndaw ñi- gàan bu set moo ngi ci seeni ñaar fukki at - wante mënno gis tukkikat bu màgget foofu tamit.,bërëb otel tonuna bu njëkk ndaw ñi gàan bu set moo ngi ci seeni ñaar fukki at wante mënno gis tukkikat bu màgget foofu tamit,b ë r ë b | o t e l | t o n u n a | b u | n j ë k k | n d a w | ñ i | g à a n | b u | s e t | m o o | n g i | c i | s e e n i | ñ a a r | f u k k i | a t | w a n t e | m ë n n o | g i s | t u k k i k a t | b u | m à g g e t | f o o f u | t a m i t |,170880,FEMALE
48,1392,2588951148657130849.wav,"Ci France, tann aada la yagga doon ci bénn xam xam low-tech: tannkat yi dañuy béru ci bénn beereep, dugeel benn keyit buy mandarga ki ñu tànn ci beenn enwelop.",ci france tann aada la yagga doon ci bénn xam xam low-tech tannkat yi dañuy béru ci bénn beereep dugeel benn keyit buy mandarga ki ñu tànn ci beenn enwelop,c i | f r a n c e | t a n n | a a d a | l a | y a g g a | d o o n | c i | b é n n | x a m | x a m | l o w - t e c h | t a n n k a t | y i | d a ñ u y | b é r u | c i | b é n n | b e e r e e p | d u g e e l | b e n n | k e y i t | b u y | m a n d a r g a | k i | ñ u | t à n n | c i | b e e n n | e n w e l o p |,264960,FEMALE
49,814,7422922874321837886.wav,"Ngir doxantu benn bés ci ab yoon bu yomb tuuti waajtaay la laaj, te bepp nit bu am tàggat yaram bu yam mën na ci bokk.",ngir doxantu benn bés ci ab yoon bu yomb tuuti waajtaay la laaj te bepp nit bu am tàggat yaram bu yam mën na ci bokk,n g i r | d o x a n t u | b e n n | b é s | c i | a b | y o o n | b u | y o m b | t u u t i | w a a j t a a y | l a | l a a j | t e | b e p p | n i t | b u | a m | t à g g a t | y a r a m | b u | y a m | m ë n | n a | c i | b o k k |,163200,FEMALE
