,inputs,targets,language,language_code,annotation_type,user_id
10,Yégalil léebu bi : naar sori gannaar warut a tax mu fatté aw santam...,Ndegam am na sànt.,Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
11,"Fan mooy péeyum réewum Lituanie?
","Péeyum réewum Lituanie mu ngi tudu Vilnius.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
12,Ci ban kembaar la réwum République Démocratique du Congo nékk,Réwum République Démocratique du Congo mu ngi nékk ci kembaar bi ñuy wakh Afrique,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
13,"Moscou mooy gëblag man réew?
","Moscou mooy gëblag réewum Russie.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
14,"Ndàx man ngaa jubbanti mbind mii?
Seen niróole mi ngi demee ni ku taal taalamn, ba janeer ba leeraale la ko wër, Yàlla fay leer ga, bàyyi leen cig lëndëm ba gisatuñu dara.","Waaw! Mi ngii:
Séen niróole mi ngi deme ni ku taal taalamn, ba janeer ba leeraale la ko wër, Yàlla fay leer ga, bàyyi léen ci'g lëndam ba gisatu ñu dara.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
15,"Fan mooy gëblag réewum Haïti
",Gëblag réewum Haïti mu ngi tudd Port-au-Prince.,Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
16,"Alger moy péeyu ban réw?
","Alger moy péeyu réwum Algérie
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
17,"Beqil ma mbind mii:
[Fàttalikuleen], ba Nu dëelanteek Muusaa ñeen-fukki guddi! Te ngeen jaamu yëkk wa ginnaawam, ngeen di way-tooñ.","Mbind mi jub a ngi nii:
[Fàttlikuleen], ba Nu dëhalantee'k Muusaa ñent fukk i guddi! Te ngéen jaamu yëkk wa ginnaawam, ngéen di waytooñ.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
18,Ci ban kembaar la réwum Ouganda nékk,Réwum Ouganda mu ngi nékk ci kembaar bi ñuy wakh Afrique,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
19,"Fan mooy gëblag réewum Lettonie ?
","Gëblag réewum Lettonie mu ngi tuddu Riga.
",Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
20,Joxeel péeteg waat yi ci kàddu gii: Cùuruur u Principal lànk ne du'ñ ko jox këyit wi'y firndeel loolu ndàx bëgg a yìir alkaati yi ko doon xorñoññal.,"Waat yi nekk ci kàddu gii di ""Cùuruur u Principal lànk ne du'ñ ko jox këyit wi'y firndeel loolu ndàx bëgg a yìir alkaati yi ko doon xorñoññal."" ak séen i péete ñoo di:
Cùuruur: NOUN
u: ADP
Principal: PROPN
lànk: VERB
ne: SCONJ
du: AUX
'ñ: PRON
ko: PRON
jox: VERB
këyit: NOUN
wi: PRON
'y: AUX
firndeel: VERB
loolu: PRON
ndàx: SCONJ
bëgg: VERB
a: PART
yìir: VERB
alkaati: NOUN
yi: PRON
ko: PRON
doon: AUX
xorñoññal: VERB
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
21,"Jubbantil mbind mii:
Walla [seen niróolee ngi deme ni] waame wu tukkee asamaan ànd ak lëndëm ak i dënnu ak i melax, ñu saañ seeni nopp ak seeni waaroom ngir bañ a dégg kàddu ya ngir ragal dee;Yàlla Aji-peeg la yéefar ya.","Mbind mi jub a ngi nii:
Walla [séen niróolee ngi deme ni] waame wu tukke àsamaan ànd ak lëndam ak i dënnu ak i melax, ñu saañ séen i nopp ak séen i waaraam ngìr bañ a dégg kàddu ya ngìr ragal dee; Yàlla Ajipeeg la yéefar ya.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
22,Yàn gox a àm Senegaal ?,"Bokk na ci gox yi gën siiw Senegaal: Njaambur, Waalo, Bawal, Jolof, Saalum, Gànjool, Kajoor",Wolof,wol,re-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
23,"Fan mooy gëblag réewum Etats-Unis?
",Gëblag réewum Etats-Unis mu ngi tudd Washington.,Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
24,"Bissau mooy péeyu man réew ?
","Bissau mooy péeyu réewum Guinée-Bissau
",Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
25,Lan moo féete Senegaal soww ?,Sseyaa atalantig moo féete Senegaal co soow bi.,Wolof,wol,original-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
26,"Vientiane moy péeyu ban réw?
","Vientiane moy péeyu réwum Laos
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
27,"Brasilia moy péeyu ban réw?
","Brasilia moy péeyu réwum Brésil
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
28,Joxeel péeteg waat yi ci kàddu gii: Yàl na ko Yàlla génne ci xat-xat yi ak mbooleem ku ne ci'y xat-xat!,"Waat yi nekk ci kàddu gii di ""Yàl na ko Yàlla génne ci xat-xat yi ak mbooleem ku ne ci'y xat-xat!"" ak séen i péete ñoo di:
Yàl: INTJ
na: AUX
ko: PRON
Yàlla: PROPN
génne: VERB
ci: ADP
xat-xat: NOUN
yi: DET
ak: CCONJ
mbooleem: DET
ku: PRON
ne: VERB
ci: ADP
'y: DET
xat-xat: NOUN
!: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
29,Fann mooy péeyum réewum Oman,Mascate,Wolof,wol,original-annotations,5dd72f79339c0e053085bf742a0ce2de4f9453af07df5a4a8672226327d7694e
30,"Belgrade moy péeyu ban réw?
","Belgrade moy péeyu réwum Serbie
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
31,"Ci ban kembaar la réwum Bahamas nékk
",Réwum Bahamas mu ngi nékk ci kembaar bi ñuy wakh Amerique du Nord,Wolof,wol,re-annotations,d51d5f3641ce21194f5a20d38a1c78b6c9c1ad9d7d7093a2be554b0a0b0fffe9
32,Satoor Mbay jureeti nañu ko ngir njuuj-njaajug 82i tamndareeti dërëm.,"Moom jàmbur bi woon te bokk ci làngug polotig gu AFP mi ne woon ci yoxoy takk-der yu Section de recherche ndax luubalug 40i tamndareet génnagul ci mball gi. Beneen jureb 82,5 tamndareet a ngi koy xaar.

As ndaw la yónnee ay nataalu daamar ne ko da koy jaay ci 40i tamndareet yi waaye ba ndaw sa fayee la ko gëj a dégg di li Seneweb xamle.

Ginnaaw loolu mu laale ci booloo ci def ñaawteef ak njuuj-njaaj ci jaay suuf. Ci loolu la naxe moom ak farandoom bii di Adraame Jóob ab móodu-móodu bu nekk ca Gaboŋ ci 82i tamndareet ngir 3i pàkk, bu nu sukkandikoo ci L'Obs.",Wolof,wol,original-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
33,Indil péeteg waat yi ci kàddu gii: Dees na wéyal fippig Sàrt bu Kawe bi!,"Waat yi nekk ci kàddu gii di ""Dees na wéyal fippig Sàrt bu Kawe bi!"" ak séen i péete ñoo di:
Dees: AUX
na: AUX
wéyal: VERB
fippig: NOUN
Sàrt: NOUN
bu: PRON
Kawe: ADJ
bi: DET
!: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
34,"Beqil ma mbind mii:
- Moo ndax, dangeen xeemeem [,Yéen jullit ñi,] Yahuud yi wóolu leen? Te am na ci ñoom kurél boo xam ne déggoon nañu waxi Yàlla, ba noppi soppi ko ginnaw ba ñu ca xalaatee ba xam ko.","Mbind mi jub a ngi nii:
- Moo ndax, da ngéen xemem [,Yéen jullit ñi,] Yahuud yi wóolu leen? Te àm na ci ñoom kurel boo xàm ne déggoon na ñu wàx i Yàlla, ba noppi soppi ko ginnaw ba ñu ca xalaatee ba xàm ko.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
35,man réew moo moom Kariokaas yi ?,Riyoo d janeroo ca Bresil.,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
36,"Beqil ma mbind mii:
Wote bi nu dëgmal, ñépp xam na ñu ko, wote bu jeggi dayoo la: ndax ci la ëllëgu réew mi aaju! Wote tànn la wan yoon la Senegaal war a teggu jëm ca kanam mbaa mu teggi ko, dellu gannaaw: lawla cat! Wante li ñu soxal ci jukki bii, lu lëkkëloog loolu gaa, wante leneen la. Loo xam ne soo ko seetloo, dafa mel ni dafa am jàllarbi ci ni “politiciens” di jëfandikoo làkki réew mi! Li ñu leen doon faral di wax mooy: demokaraasi ci làkki-jambuur ay kácci neen la, mënu la nekk! Ndax demokaraasi mooy nguuru askan wi ngir askan wi!","Mbind mi jub a ngi nii:
Wote bi nu dëgmal, ñépp xàm na ñu ko, wote bu jéggi dayo la: ndàx ci la ëllag u réew mi aju! Wote tànn la, wàn yoon la Senegaal wàr a tegu jëm ca kanam mbaa mu teggi ko, dellu gannaaw: lawla càt!
Waante li ñu soxal ci jukki bii, lu lëkkaloo'g loolu gaa, waante leneen la. Loo xàm ne soo ko seetloo, da fa mel ni da fa àm jàllarbi ci ni ""politiciens"" di jëfandikoo làkk i réew mi! Li ñu léen doon faral di wàx moo'y: demokaraasi ci làkk i jaambur ay kàcc i neen la, manul a nekk! Ndàx demokaraasi moo'y ngùur u àskan wi ngìr askan wi!",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
37,Fann mooy gëblag réewum Népal?,Katmandou.,Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
38,"Ci ban kembaar la réwum Centre africique nékk
",Réwum Centre afrique mu ngi nékk ci kembaar bi ñuy wax Afrique ,Wolof,wol,re-annotations,5dd72f79339c0e053085bf742a0ce2de4f9453af07df5a4a8672226327d7694e
39,"Jox ma péeteg waat yi ci kàddu gii: Bu li ngéen di [laaj] di yàkkamti mi ngi ci màn, kon mbir ya sottikoon na sama diggante ak yéen.","Waat yi nekk ci kàddu gii di ""Bu li ngéen di [laaj] di yàkkamti mi ngi ci màn, kon mbir ya sottikoon na sama diggante ak yéen."" ak séen i péete ñoo di:
Bu: SCONJ
li: PRON
ngéen: PRON
di: AUX
[: PUNCT
laaj: VERB
]: PUNCT
di: AUX
yàkkamti: ADJ
mi: AUX
ngi: AUX
ci: ADP
màn: PRON
,: PUNCT
kon: ADV
mbir: NOUN
ya: DET
sottikoon: VERB
na: AUX
sama: PRON
diggante: NOUN
ak: ADP
yéen: PRON
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
40,"Ndàx man ngaa jubbanti mbind mii?
Wax nañu ne: ""Safara dunu laal lu dul ay bis yu ñuy waññi! "". Neeleen: ""Moo ndax dangeen cee déggook Yàlla - te Yàlla du wuute ab digam; - walla dangeen di wax ci Yàlla lu ngeen xamul"".","Waaw! Mi ngii:
Wàx na ñu ne: ""Safara du nu laal lu dul ay bis yu ñu'y wàññi!"". Neeléen: ""Moo ndàx da ngéen cee déggoo'k Yàlla - te Yàlla du wùute ab digam; - walla da ngéen di wàx ci Yàlla lu ngéen xàmul"".",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
41,Nàn la ñu'y woowe bind yi ñu ki léen bind ?,Anonim,Wolof,wol,re-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
42,"Joxeel péeteg waat yi ci kàddu gii: Usmaan Jaañ bokk Yewwi Askan Wi di nday-ji-réew Sowub Cees doonoon ìt njiit u ndaw ya topp ca àttekat bu Tiwaawon, wàccees na ko, leegi ca ndaw ya ñu toftal ca àttekat u Cees lees ko yòbbu.","Waat yi nekk ci kàddu gii di ""Usmaan Jaañ bokk Yewwi Askan Wi di nday-ji-réew Sowub Cees doonoon ìt njiit u ndaw ya topp ca àttekat bu Tiwaawon, wàccees na ko, leegi ca ndaw ya ñu toftal ca àttekat u Cees lees ko yòbbu."" ak séen i péete ñoo di:
Usmaan: PROPN
Jaañ: PROPN
bokk: VERB
Yewwi: VERB
Askan: NOUN
Wi: DET
di: AUX
nday-ji-réew: NOUN
Sowub: NOUN
Cees: PROPN
doonoon: VERB
ìt: ADV
njiit: NOUN
u: ADP
ndaw: NOUN
ya: DET
topp: VERB
ca: ADP
àttekat: NOUN
bu: ADP
Tiwaawon: PROPN
,: PUNCT
wàccees: VERB
na: AUX
ko: PRON
,: PUNCT
leegi: ADV
ca: ADP
ndaw: NOUN
ya: DET
ñu: PRON
toftal: VERB
ca: ADP
àttekat: NOUN
u: ADP
Cees: PROPN
lees: AUX
ko: PRON
yòbbu: VERB
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
43,Jàngal ma bind.,"Boo bëggee bind ci Wolof, li nga wàr jëkk a xàmme moo'y loy yi. Te ñoo'y : a, à, ã, b, c, d, e, é, ë, ẽ, f, g, h, i, ì, ĩ, j, k, l, m, n, ñ, ŋ, o, ó, õ, p, q, r, s, t, u, ù, ũ, w, x, y.
Loy wu nekk, da'y jëmmal am riir.
Waaye àm na riir yoo xàm ne 2 loy a ko'y indi : mb, nj, ng, nd. Niral: mbay, nday.
Maas yi ñoo'y : a, à, ã, e, é, ë, ẽ, i, ì, ĩ, o, ó, õ, u, ù, ũ. Yi ci des, di ay riiraale. é, ë, i, ó ak u, da ñoo dìis, ci riir.
Pollet moo'y ay loy yu ñu boole mu joxe am riir; riir ma man na a lëm solo, man na a ko bàñ a lëm.
Baat = ab/ay pollet te lëm solo
Pollet = am/ay riir yu ñu boole yu juraat menn riir
Riir = ab/ay loy

Loy yépp di na ñu seex ba mu des f. Ci baat u 'pollet', 'l' ji da fa seex. Ci 'aar', 'a' da fa seex.
X ju seex moo joxe q.
Maas yi bu ñu'y seex, ñaareel u loy wi du àm comboñ. Niki: ùu, ée, ìi, añs.

Kon ku màn a tudd loy yi, man a yër mbind. Da fa di rekk ne leeg-leeg, dégg ak bind wùute tuuti. Te 3 di na ko wàral:
- leng: loy yii di 'b', 'j' ak 'g', séen doole da'y wàññiku bu ñu mujjee baat. Moo tàx nga'y bind jóob, di dégg 'jóop'; bind toj, di dégg 'toc'; bind nag, di dégg 'nak'
- jégg: bu am riir dìisee ci pollet, man na a wàll pollet yi ci topp. Moo tàx jigeen lees di bind doonte 'jigéen' nga'y dégg; pollet u 'ji' bi moo dìis ba wàll 'géen'. Naka noo nu jëkkar lees di bind, doonte 'jëkkër' lees di gën a dégg; ba tay ìt taalibe moo jub; taalibé, déedet. Jégg àm na ci làkk yu bàri: 'assimilation' la tudd ci àngle.
- sàmmoonte ak cosaanal baat: dàllu ji jóge ci dàll ak dàllu ji jóge ci dàl bokku ñu'w tuddìin.

Àm na ay màndarga yu'y ñëw ci mbind te deesu léen tudd: ay doggamtal la ñu. Niki lomb (').
Lomb (') da'y màndargaal làre walla tàxañug waat gi'y àm ci wàx; da'y dox diggante ñaar i waat ngìr wane ne yaar i waat la'ñ yu bokkul; wàx boole léen ci dégg. Moo tàx :
- mu'y = mu di
- ñu'y = ñu di
- na'n lekk = na nu lekk
- yaw ak = yaa'k
- màn maa di = màn maa'y
- lépp a di baax = lépp a'y baax
- jàrul a sonn = jàr'l a sonn
Lomb bàri na làkk yu ko'y jëfandikoo; ràwati na yi niroo ay loy ak Wolof: farãse, àngle, italiyĩ, añs.

Àm na yeneen i doggamtal yu'y yombal walla neexal yërum mbind; ak a ëndi yenn yu'y àm ci wàx ak wàxìin. Niki:
- , = baar
- : = tomb i aajar
- ; = jastandiku
- ... = jimbe
- () = xala
- ! = rëdd-u-jalu
- ? = õs-u-laaj
- "" "" = njukkal
- . = tomb. Kàddu tomb la'y jeexe; te ìt loy wu rëy la'y tàmble.

Li nu'y dolli ngìr jeexal, moo'y rëdd u jokkale (-). Dees na ko doxale ci diggante ay waat ngìr tëgg ci benn baat. Baat ba ci juddoo ab baat u toggatle la. Niral : ày-u-bis, xel-yaar.

Lii nu indi, tënk na mbindum Wolof. Li ci des nag, ràwati na xóot-xóot yi ak sew-sew yi, jàng, mìin ak jege ñu dégg Wolof moo ko'y mottli. Xàm-xàm bi'y leeral mbind moo'y lëgg-lëgg.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
44,"Ci ban kembaar la réwum Suisse nékk
",Réwum Suisse mu ngi nékk ci kembaar bi ñuy wakh Europe,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
45,"Ndàx man ngaa jubbanti mbind mii?
Ndegam nag ànduma woon ak mekanise mbaa ma yobbale kenn, may waaj, lu naroon a jafe nag, jeem koo defarat man doŋŋ.","Waaw! Mi ngii:
Ndegam nag àndu ma woon ak mekanise mbaa ma yobbaale kenn, ma'y waaj, lu naroon a jafe nag, jéem koo defaraat màn doŋŋ.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
46,"Vienne moy péeyu ban réw?
","Vienne moy péeyu réwum Autriche
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
47,"Ndàx man ngaa jubbanti mbind mii?
Bu ñu leen waxee: ""Buleen di yàq ci suuf si"", ñu ne: ""Nun way-defar lanu! ""","Waaw! Mi ngii:
Bu ñu léen wàxee: ""Buléen di yàq ci sùuf si"", ñu ne: ""Nun waydefar la nu!""",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
48,Fann mooy gëblag  réewum Portigaal?,Lisbonne.,Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
49,"Apia mooy gëblag man réew ?
","Apia mooy gëblag réewum Samoa.
",Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
50,"Jubbantil mbind mii:
Xanaa gisuleen li ngeen di ruuj ?","Mbind mi jub a ngi nii:
Xànaa gìsu léen li ngéen di rùuj?",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
51,Jox ma péeteg waat yi ci kàddu gii: Déwenatiléen ak Saajo Maane!,"Waat yi nekk ci kàddu gii di ""Déwenatiléen ak Saajo Maane!"" ak séen i péete ñoo di:
Déwenatiléen: VERB
ak: ADP
Saajo: PROPN
Maane: PROPN
!: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
52,"Kañ la Seex Ahmadu Bamba feeñ jamono ?	
",1853.,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
53,"Indil péeteg waat yi ci kàddu gii: Ndàx da ñu'y sàkku jeneen diine ju bokkul ak diiney Yàlla ji, te waa-àsamaan si ak sùuf si ci Moom la ñu jëm, moo xàm mu'y coobare walla ag noteel; te lu man a xew ca Moom la ñu'y dellu?","Waat yi nekk ci kàddu gii di ""Ndàx da ñu'y sàkku jeneen diine ju bokkul ak diiney Yàlla ji, te waa-àsamaan si ak sùuf si ci Moom la ñu jëm, moo xàm mu'y coobare walla ag noteel; te lu man a xew ca Moom la ñu'y dellu?"" ak séen i péete ñoo di:
Ndàx: ADV
da: AUX
ñu: PRON
'y: AUX
sàkku: VERB
jeneen: DET
diine: NOUN
ju: PRON
bokkul: VERB
ak: ADP
diiney: NOUN
Yàlla: PROPN
ji: DET
,: PUNCT
te: CCONJ
waa-àsamaan: NOUN
si: DET
ak: CCONJ
sùuf: NOUN
si: DET
ci: ADP
Moom: PRON
la: AUX
ñu: PRON
jëm: VERB
,: PUNCT
mu: PRON
a: AUX
xàm: VERB
mu: PRON
'y: AUX
coobare: NOUN
walla: CCONJ
ag: DET
noteel: NOUN
;: PUNCT
te: CCONJ
lu: PRON
man: VERB
a: PART
xew: VERB
ca: ADP
Moom: PRON
la: AUX
ñu: PRON
'y: AUX
dellu: VERB
?: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
54,Joxeel péeteg waat yi ci kàddu gii: Kenn toogul di ko yónne ab càxabal.,"Waat yi nekk ci kàddu gii di ""Kenn toogul di ko yónne ab càxabal."" ak séen i péete ñoo di:
Kenn: PRON
toogul: VERB
di: AUX
ko: PRON
yónne: VERB
ab: DET
càxabal: NOUN
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
55,"Beqil ma mbind mii:
Duñu ko mébét mukk ngir la seen yoxo ya jëf [ci lu bon]. Yàlla ku xam la way-tooñ ña.","Mbind mi jub a ngi nii:
Du ñu ko mébat mukk ngìr la séen yoxo ya jëf [ci lu bon]. Yàlla ku xàm la waytooñ ña.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
56,"Fan moy péeyum réwum Roumanie
","Péeyum réwum Roumanie mu ngi tudu Bucarest
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
